timenum,ACC,SleepPeriodTime,invalidepoch,guider,window,class_id,invalid_fullwindow,invalid_sleepperiod,invalid_wakinghours
1468938600,34.742,0,1,0,1,5,100,100,100
1468938660,57.525,0,1,0,1,14,100,100,100
1468938720,68.942,0,1,0,1,14,100,100,100
1468938780,51.933,0,1,0,1,14,100,100,100
1468938840,44.492,0,1,0,1,14,100,100,100
1468938900,53.283,0,1,0,1,14,100,100,100
1468938960,45.275,0,1,0,1,14,100,100,100
1468939020,37.525,0,1,0,1,14,100,100,100
1468939080,58.067,0,1,0,1,14,100,100,100
1468939140,50.242,0,1,0,1,14,100,100,100
1468939200,43.417,0,1,0,1,14,100,100,100
1468939260,44.442,0,1,0,1,14,100,100,100
1468939320,59.892,0,1,0,1,14,100,100,100
1468939380,60.492,0,1,0,1,14,100,100,100
1468939440,44.833,0,1,0,1,14,100,100,100
1468939500,51.217,0,1,0,1,14,100,100,100
1468939560,46.933,0,1,0,1,14,100,100,100
1468939620,43.217,0,1,0,1,14,100,100,100
1468939680,45.633,0,1,0,1,14,100,100,100
1468939740,46.117,0,1,0,1,14,100,100,100
1468939800,30.692,0,1,0,1,5,100,100,100
1468939860,27.233,0,1,0,1,5,100,100,100
1468939920,44.45,0,1,0,1,16,100,100,100
1468939980,30.967,0,1,0,1,5,100,100,100
1468940040,36.975,0,1,0,1,5,100,100,100
1468940100,37.675,0,1,0,1,5,100,100,100
1468940160,33.392,0,1,0,1,5,100,100,100
1468940220,41.025,0,1,0,1,14,100,100,100
1468940280,46.225,0,1,0,1,14,100,100,100
1468940340,41.733,0,1,0,1,14,100,100,100
1468940400,41.208,0,1,0,1,14,100,100,100
1468940460,50.383,0,1,0,1,14,100,100,100
1468940520,46.325,0,1,0,1,14,100,100,100
1468940580,50.467,0,1,0,1,14,100,100,100
1468940640,49.7,0,1,0,1,14,100,100,100
1468940700,49.542,0,1,0,1,14,100,100,100
1468940760,61.967,0,1,0,1,14,100,100,100
1468940820,55.1,0,1,0,1,14,100,100,100
1468940880,54.958,0,1,0,1,14,100,100,100
1468940940,55.808,0,1,0,1,14,100,100,100
1468941000,40.167,0,1,0,1,14,100,100,100
1468941060,51.958,0,1,0,1,14,100,100,100
1468941120,54.208,0,1,0,1,14,100,100,100
1468941180,36.642,0,1,0,1,14,100,100,100
1468941240,42.55,0,1,0,1,14,100,100,100
1468941300,37.9,0,1,0,1,14,100,100,100
1468941360,49.533,0,1,0,1,14,100,100,100
1468941420,42.308,0,1,0,1,14,100,100,100
1468941480,43.633,0,1,0,1,14,100,100,100
1468941540,43.742,0,1,0,1,14,100,100,100
1468941600,38.5,0,1,0,1,5,100,100,100
1468941660,39.875,0,1,0,1,5,100,100,100
1468941720,38.425,0,1,0,1,5,100,100,100
1468941780,38.008,0,1,0,1,5,100,100,100
1468941840,37.267,0,1,0,1,5,100,100,100
1468941900,43.067,0,1,0,1,15,100,100,100
1468941960,40.575,0,1,0,1,15,100,100,100
1468942020,40.75,0,1,0,1,15,100,100,100
1468942080,42.117,0,1,0,1,15,100,100,100
1468942140,33.042,0,1,0,1,5,100,100,100
1468942200,26.775,0,1,0,1,5,100,100,100
1468942260,39.25,0,1,0,1,5,100,100,100
1468942320,48.317,0,1,0,1,14,100,100,100
1468942380,41.275,0,1,0,1,14,100,100,100
1468942440,39.117,0,1,0,1,14,100,100,100
1468942500,43.25,0,1,0,1,14,100,100,100
1468942560,46.458,0,1,0,1,14,100,100,100
1468942620,59.592,0,1,0,1,14,100,100,100
1468942680,51.975,0,1,0,1,14,100,100,100
1468942740,40.933,0,1,0,1,14,100,100,100
1468942800,55.775,0,1,0,1,14,100,100,100
1468942860,37.9,0,1,0,1,5,100,100,100
1468942920,37.35,0,1,0,1,5,100,100,100
1468942980,29.108,0,1,0,1,5,100,100,100
1468943040,39.7,0,1,0,1,5,100,100,100
1468943100,38.642,0,1,0,1,5,100,100,100
1468943160,43.125,0,1,0,1,16,100,100,100
1468943220,34.092,0,1,0,1,5,100,100,100
1468943280,41.192,0,1,0,1,16,100,100,100
1468943340,36.575,0,1,0,1,5,100,100,100
1468943400,41.942,0,1,0,1,16,100,100,100
1468943460,59.642,0,1,0,1,16,100,100,100
1468943520,39.617,0,1,0,1,5,100,100,100
1468943580,41.508,0,1,0,1,16,100,100,100
1468943640,37.358,0,1,0,1,5,100,100,100
1468943700,44.808,0,1,0,1,16,100,100,100
1468943760,39.517,0,1,0,1,5,100,100,100
1468943820,42.842,0,1,0,1,16,100,100,100
1468943880,30.458,0,1,0,1,5,100,100,100
1468943940,52.042,0,1,0,1,16,100,100,100
1468944000,36.333,0,1,0,1,5,100,100,100
1468944060,35.142,0,1,0,1,5,100,100,100
1468944120,46.45,0,1,0,1,15,100,100,100
1468944180,38.267,0,1,0,1,15,100,100,100
1468944240,48.5,0,1,0,1,15,100,100,100
1468944300,42.058,0,1,0,1,15,100,100,100
1468944360,43.125,0,1,0,1,15,100,100,100
1468944420,30.983,0,1,0,1,5,100,100,100
1468944480,32.142,0,1,0,1,5,100,100,100
1468944540,33.042,0,1,0,1,5,100,100,100
1468944600,31.558,0,1,0,1,5,100,100,100
1468944660,26.725,0,1,0,1,5,100,100,100
1468944720,37.375,0,1,0,1,5,100,100,100
1468944780,36.317,0,1,0,1,5,100,100,100
1468944840,37.033,0,1,0,1,5,100,100,100
1468944900,61.175,0,1,0,1,16,100,100,100
1468944960,51.008,0,1,0,1,16,100,100,100
1468945020,39.8,0,1,0,1,5,100,100,100
1468945080,40.45,0,1,0,1,16,100,100,100
1468945140,26.25,0,1,0,1,5,100,100,100
1468945200,41.508,0,1,0,1,16,100,100,100
1468945260,34.967,0,1,0,1,5,100,100,100
1468945320,32.383,0,1,0,1,5,100,100,100
1468945380,53.85,0,1,0,1,15,100,100,100
1468945440,39.4,0,1,0,1,15,100,100,100
1468945500,43.6,0,1,0,1,15,100,100,100
1468945560,55.642,0,1,0,1,15,100,100,100
1468945620,40.708,0,1,0,1,15,100,100,100
1468945680,37.425,0,1,0,1,5,100,100,100
1468945740,39.067,0,1,0,1,5,100,100,100
1468945800,33.725,0,1,0,1,5,100,100,100
1468945860,50.758,0,1,0,1,15,100,100,100
1468945920,52.4,0,1,0,1,15,100,100,100
1468945980,40.192,0,1,0,1,15,100,100,100
1468946040,40.167,0,1,0,1,15,100,100,100
1468946100,32.9,0,1,0,1,15,100,100,100
1468946160,41.375,0,1,0,1,15,100,100,100
1468946220,34.275,0,1,0,1,5,100,100,100
1468946280,46.575,0,1,0,1,16,100,100,100
1468946340,29.983,0,1,0,1,5,100,100,100
1468946400,27.258,0,1,0,1,5,100,100,100
1468946460,42.342,0,1,0,1,16,100,100,100
1468946520,38.433,0,1,0,1,5,100,100,100
1468946580,45.392,0,1,0,1,16,100,100,100
1468946640,40.833,0,1,0,1,16,100,100,100
1468946700,29.875,0,1,0,1,5,100,100,100
1468946760,32.242,0,1,0,1,5,100,100,100
1468946820,33.975,0,1,0,1,5,100,100,100
1468946880,39.075,0,1,0,1,5,100,100,100
1468946940,36.35,0,1,0,1,5,100,100,100
1468947000,30.142,0,1,0,1,5,100,100,100
1468947060,42.883,0,1,0,1,16,100,100,100
1468947120,42.575,0,1,0,1,16,100,100,100
1468947180,31.925,0,1,0,1,12,100,100,100
1468947240,37.2,0,1,0,1,12,100,100,100
1468947300,28.267,0,1,0,1,12,100,100,100
1468947360,21.117,0,1,0,1,12,100,100,100
1468947420,18.592,0,1,0,1,12,100,100,100
1468947480,17.517,0,1,0,1,12,100,100,100
1468947540,19.6,0,1,0,1,12,100,100,100
1468947600,22.833,0,1,0,1,12,100,100,100
1468947660,36.742,0,1,0,1,12,100,100,100
1468947720,36.942,0,1,0,1,12,100,100,100
1468947780,37.717,0,1,0,1,12,100,100,100
1468947840,22.208,0,1,0,1,12,100,100,100
1468947900,21.7,0,1,0,1,12,100,100,100
1468947960,18.383,0,1,0,1,12,100,100,100
1468948020,20.142,0,1,0,1,12,100,100,100
1468948080,19.45,0,1,0,1,12,100,100,100
1468948140,28.95,0,1,0,1,12,100,100,100
1468948200,53.833,0,1,0,1,12,100,100,100
1468948260,36.075,0,1,0,1,12,100,100,100
1468948320,31.717,0,1,0,1,12,100,100,100
1468948380,23.092,0,1,0,1,12,100,100,100
1468948440,35.375,0,1,0,1,12,100,100,100
1468948500,28.108,0,1,0,1,12,100,100,100
1468948560,33.642,0,1,0,1,12,100,100,100
1468948620,32.75,0,1,0,1,12,100,100,100
1468948680,35.7,0,1,0,1,12,100,100,100
1468948740,28.883,0,1,0,1,12,100,100,100
1468948800,18.833,0,1,0,1,12,100,100,100
1468948860,16.975,0,1,0,1,12,100,100,100
1468948920,23.5,0,1,0,1,12,100,100,100
1468948980,24.825,0,1,0,1,12,100,100,100
1468949040,25.517,0,1,0,1,12,100,100,100
1468949100,17.733,0,1,0,1,12,100,100,100
1468949160,13.575,0,1,0,1,12,100,100,100
1468949220,15.258,0,1,0,1,12,100,100,100
1468949280,24.5,0,1,0,1,12,100,100,100
1468949340,20.458,0,1,0,1,12,100,100,100
1468949400,17.792,0,1,0,1,12,100,100,100
1468949460,18.758,0,1,0,1,12,100,100,100
1468949520,28.792,0,1,0,1,12,100,100,100
1468949580,27.183,0,1,0,1,12,100,100,100
1468949640,37.633,0,1,0,1,12,100,100,100
1468949700,36.892,0,1,0,1,12,100,100,100
1468949760,46.442,0,1,0,1,16,100,100,100
1468949820,42.675,0,1,0,1,16,100,100,100
1468949880,33.858,0,1,0,1,5,100,100,100
1468949940,21.5,0,1,0,1,5,100,100,100
1468950000,16.083,0,1,0,1,5,100,100,100
1468950060,8.092,0,1,0,1,5,100,100,100
1468950120,8.833,0,1,0,1,5,100,100,100
1468950180,7.342,0,1,0,1,5,100,100,100
1468950240,9.158,0,1,0,1,5,100,100,100
1468950300,10.825,0,1,0,1,5,100,100,100
1468950360,7.983,0,1,0,1,5,100,100,100
1468950420,18.25,0,1,0,1,5,100,100,100
1468950480,20.342,0,1,0,1,5,100,100,100
1468950540,23.333,0,1,0,1,5,100,100,100
1468950600,21.325,0,1,0,1,5,100,100,100
1468950660,17.35,0,1,0,1,5,100,100,100
1468950720,29.942,0,1,0,1,5,100,100,100
1468950780,56.758,0,1,0,1,16,100,100,100
1468950840,25.125,0,1,0,1,5,100,100,100
1468950900,28.333,0,1,0,1,5,100,100,100
1468950960,35.558,0,1,0,1,5,100,100,100
1468951020,52.708,0,1,0,1,14,100,100,100
1468951080,58.542,0,1,0,1,14,100,100,100
1468951140,64.225,0,1,0,1,14,100,100,100
1468951200,56.558,0,1,0,1,14,100,100,100
1468951260,69.792,0,1,0,1,14,100,100,100
1468951320,73.033,0,1,0,1,14,100,100,100
1468951380,56.675,0,1,0,1,14,100,100,100
1468951440,57.033,0,1,0,1,14,100,100,100
1468951500,46.75,0,1,0,1,14,100,100,100
1468951560,61.792,0,1,0,1,14,100,100,100
1468951620,59.592,0,1,0,1,14,100,100,100
1468951680,45.017,0,1,0,1,14,100,100,100
1468951740,47.775,0,1,0,1,14,100,100,100
1468951800,49.675,0,1,0,1,14,100,100,100
1468951860,46.658,0,1,0,1,14,100,100,100
1468951920,42.825,0,1,0,1,14,100,100,100
1468951980,41.508,0,1,0,1,14,100,100,100
1468952040,34.808,0,1,0,1,5,100,100,100
1468952100,34.525,0,1,0,1,5,100,100,100
1468952160,36.267,0,1,0,1,5,100,100,100
1468952220,28.167,0,1,0,1,5,100,100,100
1468952280,32.592,0,1,0,1,5,100,100,100
1468952340,44.708,0,1,0,1,16,100,100,100
1468952400,41.892,0,1,0,1,16,100,100,100
1468952460,47.2,0,1,0,1,16,100,100,100
1468952520,33.517,0,1,0,1,12,100,100,100
1468952580,39.517,0,1,0,1,12,100,100,100
1468952640,31.1,0,1,0,1,12,100,100,100
1468952700,28.8,0,1,0,1,12,100,100,100
1468952760,26.958,0,1,0,1,12,100,100,100
1468952820,27.858,0,1,0,1,12,100,100,100
1468952880,14.542,0,1,0,1,12,100,100,100
1468952940,23.792,0,1,0,1,12,100,100,100
1468953000,18.567,0,1,0,1,12,100,100,100
1468953060,21.967,0,1,0,1,12,100,100,100
1468953120,22.517,0,1,0,1,12,100,100,100
1468953180,16.042,0,1,0,1,12,100,100,100
1468953240,24.233,0,1,0,1,12,100,100,100
1468953300,36.508,0,1,0,1,12,100,100,100
1468953360,27.083,0,1,0,1,12,100,100,100
1468953420,26.658,0,1,0,1,12,100,100,100
1468953480,34.708,0,1,0,1,12,100,100,100
1468953540,34.267,0,1,0,1,12,100,100,100
1468953600,23.1,0,1,0,1,12,100,100,100
1468953660,14.942,0,1,0,1,12,100,100,100
1468953720,6.9,0,1,0,1,12,100,100,100
1468953780,17.792,0,1,0,1,12,100,100,100
1468953840,22.483,0,1,0,1,12,100,100,100
1468953900,13.483,0,1,0,1,12,100,100,100
1468953960,12.967,0,1,0,1,12,100,100,100
1468954020,16.967,0,1,0,1,12,100,100,100
1468954080,9.333,0,1,0,1,12,100,100,100
1468954140,9.075,0,1,0,1,12,100,100,100
1468954200,14.133,0,1,0,1,12,100,100,100
1468954260,2.558,0,1,0,1,12,100,100,100
1468954320,7.267,0,1,0,1,12,100,100,100
1468954380,3.558,0,1,0,1,12,100,100,100
1468954440,5.975,0,1,0,1,12,100,100,100
1468954500,4.175,0,1,0,1,12,100,100,100
1468954560,3.367,0,1,0,1,12,100,100,100
1468954620,2.283,0,1,0,1,12,100,100,100
1468954680,4.425,0,1,0,1,12,100,100,100
1468954740,4.292,0,1,0,1,12,100,100,100
1468954800,3.692,0,1,0,1,12,100,100,100
1468954860,3.367,0,1,0,1,12,100,100,100
1468954920,7.7,0,1,0,1,12,100,100,100
1468954980,6.067,0,1,0,1,12,100,100,100
1468955040,5.292,0,1,0,1,12,100,100,100
1468955100,13.983,0,1,0,1,12,100,100,100
1468955160,15.225,0,1,0,1,12,100,100,100
