DATE,TIME,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT(m),NSAT (USED/VIEW),SAT INFO (SID-SNR)
22/07/2016,09:07:51,-47.156267,S,60.228652,E,40.7,4(5),#32-32;#14-34;#27-16;#01-25;10-00
22/07/2016,09:08:06,-47.15636,S,60.228538,E,18.5,4(9),#32-35;#14-31;#27-18;#01-23;10-00;03-00;08-00;31-00;23-00
22/07/2016,09:08:21,-47.156349,S,60.228549,E,20.7,4(10),#32-37;#14-32;#27-18;#01-23;08-00;03-00;31-00;23-00;10-00;11-00
22/07/2016,09:08:36,-47.156366,S,60.228519,E,17.9,4(6),#32-35;#14-31;#27-18;#01-23;08-00;31-00
22/07/2016,09:08:51,-47.156364,S,60.228537,E,17.9,4(6),#32-33;#14-34;#27-23;#01-17;10-00;22-00
22/07/2016,09:09:06,-47.156328,S,60.228562,E,18.6,5(10),#32-38;#14-33;#27-19;#01-18;11-00;23-00;#03-20;10-00;22-00;08-00
22/07/2016,09:09:21,-47.156302,S,60.228592,E,18.6,5(6),#32-36;#14-30;#27-23;#01-17;#03-23;22-00
22/07/2016,09:09:36,-47.1563,S,60.22864,E,18.5,6(10),#32-29;#14-28;#27-24;#01-18;11-00;22-00;#03-20;08-00;31-00;#23-18
22/07/2016,09:09:51,-47.1563,S,60.228631,E,19.2,6(6),#32-31;#14-29;#27-22;#01-16;#03-20;#23-17
22/07/2016,09:10:06,-47.156311,S,60.22863,E,20.5,8(11),#32-36;#14-37;#27-22;#01-18;#22-24;11-00;#03-16;#31-25;08-00;#23-21;10-00
22/07/2016,09:10:21,-47.156323,S,60.228665,E,22.4,8(9),#32-34;#14-35;#27-18;#01-17;#22-19;10-00;#03-16;#31-21;#23-19
22/07/2016,09:10:36,-47.156347,S,60.228651,E,23.1,8(10),#32-31;#14-36;#27-18;#01-18;#22-18;11-00;#03-15;#31-20;08-00;#23-16
22/07/2016,09:10:51,-47.15637,S,60.228681,E,23.2,8(9),#32-31;#14-34;#27-19;#01-18;#22-18;17-00;#03-18;#31-18;#23-16
22/07/2016,09:11:06,-47.156351,S,60.22875,E,25.3,7(10),#32-35;#14-34;#27-19;#01-21;#22-15;17-00;#03-16;31-16;08-00;#23-17
22/07/2016,09:11:21,-47.156328,S,60.228853,E,24.6,9(9),#32-32;#14-37;#27-21;#01-16;#22-15;#17-16;#03-17;#31-16;#23-17
22/07/2016,09:11:36,-47.156335,S,60.228842,E,24.8,8(9),#32-30;#14-36;#27-19;#01-16;#17-17;#03-17;#31-17;#23-16;22-00
22/07/2016,09:11:51,-47.156316,S,60.228846,E,24.7,8(10),#32-29;#14-36;#27-18;#01-18;22-00;#17-17;#03-17;#31-17;08-00;#23-15
22/07/2016,09:12:06,-47.156321,S,60.228855,E,24.7,7(9),#32-33;#14-36;#27-24;#01-18;#22-16;17-15;#03-20;#31-18;23-00
22/07/2016,09:12:21,-47.156324,S,60.22887,E,24.7,8(9),#32-31;#14-38;#27-22;#01-22;#22-16;#17-16;#03-18;#31-18;23-00
